Category,Subcategory,count,tag
34-PLM,AIG Interfaccia DMSplus SCM,28,
70-CMS,Procurement,28,
10-Industrial Device,Z-Others,26,DEFAULT
68-ERP Fondwise,Sales Items,24,
46-MyPortal,99-ALTRE APPLICAZIONI,24,
03-System Software,Sistem Software Tool,24,
68-ERP Fondwise,Controlling,24,
46-MyPortal,19-UTRACK,23,
64-Applicazioni HR,HRMS - Success Factors,22,
07-Storage,Backup Device,21,
02-User Application,Cad,20,
06-Server,Firewall,20,
68-ERP Fondwise,Production,19,
34-PLM,AIG anagrafica articoli verso AX2012,18,
77-QUALIWARE,Service,16,
66-ERP-365FO,Procurement,15,
03-System Software,Operating System,15,
71-HCL NOTES,Spare Parts,15,
03-System Software,Firewall Software,15,
04-Network,Access Point,14,
06-Server,VMware Farm,14,
08-Voice,Z-Others,14,DEFAULT
08-Voice,Telephony System,14,
46-MyPortal,11-STORYTELLING,14,
78-TIME TRACK,Other,14,DEFAULT
05-Printer,Standalone Printer,13,
58-FCS,WHS,13,
06-Server,File Server,13,
68-ERP Fondwise,Procurement,13,
06-Server,Mail Server,12,
03-System Software,Software Integration,12,
34-PLM,Traslatore AS/400 CMS,12,
20-IT Security,20-IT Security,11,FLAT
34-PLM,Traslatore Eplan,11,
43-CPQ Experlogix,Sales,11,
34-PLM,AIG CN verso AX2012,10,
03-System Software,Front-End Services,10,
34-PLM,Traslatore Inventor,10,
43-CPQ Experlogix,Other,10,DEFAULT
34-PLM,Traslatore MS Office,9,
01-Workplace,Workstation CAD,9,
02-User Application,Ivanti Tool,9,
46-MyPortal,21-GOCOMPARE,9,
72-ASM,Procurement,9,
72-ASM,Finance,8,
82-WCMS,Service,8,
04-Network,Wireless Controller,8,
68-ERP Fondwise,Customer & Vendor master data,8,
68-ERP Fondwise,Warehouse & Material Mgmt,8,
10-Industrial Device,Barcode Reader,8,
79-BOARD,Other,8,DEFAULT
84-LOGiN (WMS),Planning and Supply Chain,7,
72-ASM,Commissioning,7,
10-Industrial Device,Industrial Tablet,7,
34-PLM,AIG Interfaccia FCS,6,
34-PLM,ITK Interfaccia matricole (CMS e SCM),6,
34-PLM,AIG Interfaccia DMSplus CMS,6,
66-ERP-365FO,Customer & Vendor master data,6,
74-MES (OASI),Quality,6,
04-Network,MPLS,6,
74-MES (OASI),Procurement,5,
71-HCL NOTES,Marketing,5,
06-Server,Domain Controller,5,
04-Network,Router,4,
68-ERP Fondwise,,4,
34-PLM,AIG visualizzatore DMS,4,
34-PLM,AIG anagrafica modelli reali,4,
70-CMS,Spare Parts,4,
75-MPS,Service,4,
73-ERP (ACG AS/400),Marketing,4,
72-ASM,HR,4,
72-ASM,Spare Parts,4,
76-RDA,Finance,4,
34-PLM,Traslatore Creo,4,
34-PLM,Traslatore EBS,4,
77-QUALIWARE,Planning and Supply Chain,4,
08-Voice,IP Phone,4,
77-QUALIWARE,Procurement,4,
79-BOARD,Service,3,
34-PLM,AIG Interfaccia SMC,3,
43-CPQ Experlogix,Service,3,
66-ERP-365FO,User Management,3,
75-MPS,Planning and Supply Chain,3,
03-System Software,System Software Tool,3,
74-MES (OASI),Finance,3,
75-MPS,Sales,3,
74-MES (OASI),Engineering,3,
68-ERP Fondwise,User Management,3,
08-Voice,Softphone,3,
70-CMS,Sales,3,
54-Piteco,Piteco,2,FLAT
70-CMS,Planning and Supply Chain,2,
58-FCS,,2,
03-System Software,Proxy Server,2,
78-TIME TRACK,Engineering,2,
34-PLM,Geolus,2,
66-ERP-365FO,Production,2,
11-Collaboration Device,Videoconference System,2,FLAT
76-RDA,Service,2,
76-RDA,Sales,1,
82-WCMS,Sales,1,
78-TIME TRACK,Commissioning,1,
34-PLM,AIG Interfaccia DMSplus Hiteco,1,
79-BOARD,Finance,1,
81-SDH,Service,1,FLAT
46-MyPortal,09-PORTALE FINANCE,1,
10-Industrial Device,DDS,1,
12-ES Contractors,Printers,1,FLAT
43-CPQ Experlogix,Finance,1,
34-PLM,Server issue,1,
70-CMS,HR,1,
70-CMS,Quality,1,
71-HCL NOTES,HR,1,
73-ERP (ACG AS/400),Production,1,
72-ASM,Marketing,1,
04-Network,Radio-Link,1,
75-MPS,Procurement,1,
84-LOGiN (WMS),Spare Parts,1,
83-WPR,Service,1,FLAT
99-Z-Other Applications,01-DMS,1,TRASHBIN
, ,1,
